Schrijversnamen OF;Namen Wikidata1;Wikidata Qnr;date of birth;date of death;NTA URI;namen NTA
Klinkhaemer, Peggy;Klinkhaemer, Peggy;;;;http://data.bibliotheken.nl/id/thes/p072656719;Klinkhaemer, Peggy
Kloosterman, Simke;Simke Kloosterman;Q18093241;###############################################################################################################################################################################################################################################################;1938-01-01;http://data.bibliotheken.nl/id/thes/p068770812;Kloosterman, Simke (1876-1938)
Klopstra, Peter H.;Klopstra, Peter H.;;;;;Klopstra, Peter H.
Kneepkens, Manuel;Manuel Kneepkens;Q2129110;1942-02-26;;http://data.bibliotheken.nl/id/thes/p068176236;Kneepkens, Manuel (1942-)
Koenegracht, Frank;Frank Koenegracht;Q2430283;1945-07-23;;http://data.bibliotheken.nl/id/thes/p070221049;Koenegracht, Frank (1945-)
Komrij, Gerrit;Gerrit Komrij;Q202489;1944-03-30;2012-07-05;http://data.bibliotheken.nl/id/thes/p068944446;Komrij, Gerrit (1944-2012)
Kooger, Hans;Kooger, Hans;;;;http://data.bibliotheken.nl/id/thes/p068646585;Kooger, Hans (1932-)
Kooistra, Jan;Jan Kooistra;Q20604736;1959-02-15;;http://data.bibliotheken.nl/id/thes/p068501315;Kooistra, Jan (1959-)
Kooistra, R.;Kooistra, R.;;;;http://data.bibliotheken.nl/id/thes/p069210667;Kooistra, R.
Koopmans, Anne;Anne Koopmans;Q13134626;1933-01-01;;http://data.bibliotheken.nl/id/thes/p132861550;Koopmans, Anne (1933-2004)
Kootstra, Douwe;Douwe Kootstra;Q13135333;1951-11-03;;http://data.bibliotheken.nl/id/thes/p07268965X;Kootstra, Douwe (1951-)
Kopland, Rutger;Rutger Kopland;Q2783414;1934-08-04;2012-07-11;http://data.bibliotheken.nl/id/thes/p068617887;Kopland, Rutger
Kouwenaar, Gerrit;Gerrit Kouwenaar;Q2045342;1923-08-09;2014-09-04;http://data.bibliotheken.nl/id/thes/p068390394;Kouwenaar, Gerrit (1923-2014)
Krikke, Sibbele;Krikke, Sibbele;;;;http://data.bibliotheken.nl/id/thes/p068811187;Krikke, Sibbele (1926-1999)
Kroes, Tine;Kroes, Tine;;;;http://data.bibliotheken.nl/id/thes/p241586623;Kroes, Tine (1917-1992)
Krol, Sybe;Sybe Krol;Q14422436;1946-12-17;1990-02-25;http://data.bibliotheken.nl/id/thes/p072691042;Krol, Sybe (1946-1990)
Kruiderink, Rienk;Kruiderink, Rienk;;;;http://data.bibliotheken.nl/id/thes/p113454570;Kruiderink, Rienk (1944-)
Kruyswijk, Richard;Kruyswijk, Richard;;;;;Kruyswijk, Richard
Kuip, Frits van der;Kuip, Frits van der;;;;http://data.bibliotheken.nl/id/thes/p073409812;Kuip, Frits van der (1955-)
Kuiper, Leen;Kuiper, Leen;;;;http://data.bibliotheken.nl/id/thes/p074138162;Kuiper, L.C. (1956-)
Kuiters, Swaantje;Kuiters, Swaantje;;;;;Kuiters, Swaantje
Kuyper, Sjoerd;Sjoerd Kuyper;Q3189605;1952-03-06;;http://data.bibliotheken.nl/id/thes/p068465653;Kuyper, Sjoerd (1952-)
Lasoen, Patricia;Patricia Lasoen;Q14052173;1948-09-25;;http://data.bibliotheken.nl/id/thes/p071931414;Lasoen, Patricia (1948-)
Laverman, Bartle;Bartle Laverman;Q13134743;1948-01-31;;http://data.bibliotheken.nl/id/thes/p071366105;Laverman, Bartle (1948-2020)
Leest, Reinder Rienk van der;Reinder van der Leest;Q13411192;1933-06-29;;http://data.bibliotheken.nl/id/thes/p068531427;Leest, R.R. van der (1933-)
Leij, Gerd de;Leij, Gerd de;;;;;Leij, Gerd de
Ley, Lourens J. van der;Ley, Lourens J. van der;;;;;Ley, Lourens J. van der
Liemburg, Johanneke;Johanneke Liemburg;Q2027501;1952-07-19;;http://data.bibliotheken.nl/id/thes/p068638892;Liemburg, Johanneke (1952-)
Lieshout, Peter van;Peter van Lieshout;Q2007463;1958-01-01;;http://data.bibliotheken.nl/id/thes/p06845158X;Lieshout, Peter van (1946-)
Lievaert, Inge;Lievaert, Inge;;;;http://data.bibliotheken.nl/id/thes/p241592550;Lievaert, Inge
Lont, Titia;Titia Lont;Q2752558;1963-01-01;;http://data.bibliotheken.nl/id/thes/p073955914;Lont, Titia (1963-)
Ludwig, Hannah;Hannah Ludwig;Q13135982;1943-02-04;2013-11-01;http://data.bibliotheken.nl/id/thes/p072107391;Ludwig, Hannah (1943-2013)
Luymen, June;Luymen, June;;;;;Luymen, June
Mak, Maurits;Mak, Maurits;;;;;Mak, Maurits
Marseille, Wim;Marseille, Wim;;;;;Marseille, Wim
Meer, Hindrik van der;Hindrik van der Meer;Q18093301;1938-07-04;;http://data.bibliotheken.nl/id/thes/p071629378;Meer, Hindrik van der (1938-)
Meer, Jurjen van der;Jurjen van der Meer;Q13136523;1957-07-09;;http://data.bibliotheken.nl/id/thes/p074475916;Meer, Jurjen van der (1957-)
Meer, Steven van der;Meer, Steven van der;;;;http://data.bibliotheken.nl/id/thes/p244026955;Meer, Steven van der (1945-)
Meulen, Durk van der;Meulen, Durk van der;;;;;Meulen, Durk van der
Michaëlis, Hanny;Hanny Michaelis;Q2090463;1922-12-19;2007-06-11;http://data.bibliotheken.nl/id/thes/p070223734;Michaelis, Hanny (1922-2007)
Miedema, Frou;Miedema, Frou;;;;;Miedema, Frou
Min, Neeltje Maria;Neeltje Maria Min;Q2180070;1944-07-21;;http://data.bibliotheken.nl/id/thes/p070223971;Min, Neeltje Maria (1944-)
Minke;Minke;;;;;Minke
Mok, Maurits;Maurits Mok;Q4334696;1907-11-07;1989-02-07;http://data.bibliotheken.nl/id/thes/p068959893;Mok, Maurits (1907-1989)
;;;;1989-02-08;;
Molen, Janke van der;Molen, Janke van der;;;;;Molen, Janke van der
Morriën, Adriaan;Adriaan Morriën;Q367612;1912-06-05;2002-06-07;;Morriën, Adriaan
Mulder, Tiny;Tiny Mulder;Q2241444;1921-04-02;2010-11-04;http://data.bibliotheken.nl/id/thes/p068614675;Mulder, Tiny (1921-2010)
N.N.;N.N.;;;;;N.N.
Natasja;Natasja Saad;Q242325;1974-10-31;2007-06-24;;Natasja
Nijmeijer, Peter;Peter Nijmeijer;Q52897839;;;http://data.bibliotheken.nl/id/thes/p068020228;Nijmeijer, Peter (1947-2016)
Nissen, Moritz;Moritz Momme Nissen;Q20567;###############################################################################################################################################################################################################################################################;1902-12-29;http://data.bibliotheken.nl/id/thes/p137674791;Nissen, Moritz Momme (1822-1902)
Oorsaal, M. van;Oorsaal, M. van;;;;;Oorsaal, M. van
Oosterhaven, Beart;Beart Oosterhaven;Q18093347;1956-07-05;;http://data.bibliotheken.nl/id/thes/p068622201;Oosterhaven, Beart (1956-)
Oosterhaven, Beart;Beart Oosterhaven;Q18093347;1956-07-05;;http://data.bibliotheken.nl/id/thes/p068622201;Oosterhaven, Beart (1956-)
Oosterhuis, Huub;Huub Oosterhuis;Q1639368;1933-11-01;;http://data.bibliotheken.nl/id/thes/p068801874;Oosterhuis, Huub (1933-)
Oostra, H.A.R.;Oostra, H.A.R.;;;;;Oostra, H.A.R.
Overtjonger, Jan van;Overtjonger, Jan van;;;;http://data.bibliotheken.nl/id/thes/p069629900;Overtjonger, Jan van
Ozinga, H.A.R.;Ozinga, H.A.R.;;;;;Ozinga, H.A.R.
Palstra, Sjoerd;Palstra, Sjoerd;;;;http://data.bibliotheken.nl/id/thes/p068566999;Palstra, Sjoerd (1922-2015)
Peanstra, Tsjits;Tsjits Peanstra;Q13138431;1924-11-06;2014-02-28;http://data.bibliotheken.nl/id/thes/p068002904;Peanstra, Tsjits (1924-2014)
Peto, Bert;Peto, Bert;;;;http://data.bibliotheken.nl/id/thes/p068361610;Peto, Bert S.A. (1946-)
Piebenga, Sikke;Piebenga, Sikke;;;;http://data.bibliotheken.nl/id/thes/p244030782;Piebenga, Sikke (1950-2014)
Piebenga, Tjitte;Tjitte Piebenga;Q13138365;1935-08-12;2007-12-27;http://data.bibliotheken.nl/id/thes/p068574827;Piebenga, Tjitte (1935-2007)
Poelman, Ronald;Poelman, Ronald;;;;http://data.bibliotheken.nl/id/thes/p37164559X;Poelman, Ronald (1954-)
Polet, Sybren;Sybren Polet;Q2053872;1924-06-19;2015-07-19;http://data.bibliotheken.nl/id/thes/p069219907;Polet, Sybren
Polstra, Thys;Thijs Polstra;Q13138312;1905-02-27;1993-08-17;;Polstra, Thys
Poortstra, Margryt;Margryt Poortstra;Q13137000;1953-05-18;;http://data.bibliotheken.nl/id/thes/p073027316;Poortstra, Margryt (1953-)
Porte, Anne;Anne Porte;Q13134627;1902-11-28;1984-05-29;http://data.bibliotheken.nl/id/thes/p241663857;Porte, Anne (1902-1984)
Post, Jan;Post, Jan;;;;;Post, Jan
Postema, Jits;Postema, Jits;;;;http://data.bibliotheken.nl/id/thes/p07172446X;Postema, Jits (1940-)
Postma, D.;Postma, D.;;;;;Postma, D.
Prins, Sonja;Sonja Prins;Q14365854;1912-08-14;2009-01-15;http://data.bibliotheken.nl/id/thes/p070156506;Prins, Sonja (1912-2009)
Putte, Hein van der;Putte, Hein van der;;;;;Putte, Hein van der
Pytters, Willem J.;Pytters, Willem J.;;;;;Pytters, Willem J.
Quentin, Miep;Quentin, Miep;;;;;Quentin, Miep
Reen, Ton van;Ton van Reen;Q2326102;1941-08-30;;http://data.bibliotheken.nl/id/thes/p069896739;Reen, Ton van (1941-)
Riemersma, Trinus;Trinus Riemersma;Q2601231;1938-05-17;2011-03-15;http://data.bibliotheken.nl/id/thes/p068250371;Riemersma, Tr. (1938-2011)
Rijs, Vincent;Rijs, Vincent;;;;;Rijs, Vincent
Rinsma, Gerard;Rinsma, Gerard;;;;http://data.bibliotheken.nl/id/thes/p384111246;Rinsma, Gerard (1958-)
Rixt;Rixt;;;;;Rixt
Roel fan Sumar;Roel fan Sumar;;;;;Roel fan Sumar
Roggeman, Willem M.;Willem Roggeman;Q2430691;1935-07-09;;http://data.bibliotheken.nl/id/thes/p068477821;Roggeman, Willem M. (1935-)
Rosien, Jurrie;Rosien, Jurrie;;;;;Rosien, Jurrie
Rutke, Fem;Fem Rutke;Q2691629;1934-05-20;1991-11-19;http://data.bibliotheken.nl/id/thes/p071750215;Rutke, Fem
Rypma, Hiske;Rypma, Hiske;;;;;Rypma, Hiske
Sakes, Mayke;Sakes, Mayke;;;;;Sakes, Mayke
Samplonius, M.;Jelmer M Samplonius;Q61106212;;;;Samplonius, M.
Schierbeek, Bert;Bert Schierbeek;Q2434433;1918-06-28;1996-06-09;http://data.bibliotheken.nl/id/thes/p068014341;Schierbeek, Bert (1918-1996)
Schilperoord, Peter;Schilperoord, Peter;;;;http://data.bibliotheken.nl/id/thes/p071547282;Schilperoord, Peter
Schippers, K.;K. Schippers;Q5171416;1936-11-06;2021-08-12;http://data.bibliotheken.nl/id/thes/p068239165;Schippers, K.
Schurer, Fedde;Fedde Schurer;Q2510550;###############################################################################################################################################################################################################################################################;1968-03-19;http://data.bibliotheken.nl/id/thes/p068610629;Schurer, Fedde (1898-1968)
Schuur, Peter C.;Schuur, Peter C.;;;;;Schuur, Peter C.
Sikkema, Pyt Jan;Sikkema, Pyt Jan;;;;http://data.bibliotheken.nl/id/thes/p091107768;Sikkema, Pyt Jan (1947-)
Slagter, Joop;Slagter, Joop;;;;http://data.bibliotheken.nl/id/thes/p166246182;Slagter, Joop (1931-)
Sleutelaar, Hans;Hans Sleutelaar;Q95268837;1935-01-01;;http://data.bibliotheken.nl/id/thes/p070238979;Sleutelaar, Hans (1935-2020)
Slofstra, Jan;Slofstra, Jan;;;;http://data.bibliotheken.nl/id/thes/p070741573;Slofstra, Jan (1910-1999)
Smink, Jac. Q.;Smink, Jac. Q.;;;;;Smink, Jac. Q.
Smit, Afke Nel;Smit, Afke Nel;;;;;Smit, Afke Nel
Smit, Jo;Jo Smit;Q13136418;1916-03-24;1991-04-30;http://data.bibliotheken.nl/id/thes/p071774904;Smit, Jo (1916-1991)
Smits, Frank;Smits, Frank;;;;http://data.bibliotheken.nl/id/thes/p074752987;Smits, Frank
Spanninga, Sjoerd;Sjoerd Spanninga;Q18093505;1906-02-08;1985-07-27;;Spanninga, Sjoerd
Spoelstra, Oene;Oene Spoelstra;Q13137310;1944-02-14;;http://data.bibliotheken.nl/id/thes/p068337086;Spoelstra, Oene (1944-)
Steen, Peter van;Steen, Peter van;;;;http://data.bibliotheken.nl/id/thes/p072611340;Steen, Peter van (1954-)
Steenmeijer, Tineke;Tineke Steenmeijer-Wielenga;Q13138340;1946-06-02;;http://data.bibliotheken.nl/id/thes/p06864051X;Steenmeijer-Wielenga, Tineke (1946-)
Steijer, Rudolf;Steijer, Rudolf;;;;;Steijer, Rudolf
Stelwagen, Tjibbe;Stelwagen, Tjibbe;;;;;Stelwagen, Tjibbe
Sterk, Steven;Steven Sterk;Q13138040;1958-03-19;;http://data.bibliotheken.nl/id/thes/p070749329;Sterk, Steven (1958-)
Stienstra, Andrys;Stienstra, Andrys;;;;http://data.bibliotheken.nl/id/thes/p073176664;Stienstra, Andrys (1953-)
Stuit, Sipke;Sipke Stuit;Q12355181;1908-09-18;1974-02-26;http://data.bibliotheken.nl/id/thes/p238350479;Stuit, Sipke (1908-1974)
Sudema, Rixt;Sudema, Rixt;;;;http://data.bibliotheken.nl/id/thes/p241896428;Zuidema, Rixt Annemary (1951-)
Swart, George;Swart, George;;;;;Swart, George
Sybesma, Sybe;Sybe Sybesma;Q25616658;1924-11-05;1986-03-09;http://data.bibliotheken.nl/id/thes/p068617844;Sybesma, Sybe (1924-1986)
Tamminga, D. A.;Douwe Tamminga;Q4896796;1909-11-22;2002-04-05;;Tamminga, D. A.
Tasma-Hollander, A.S.;Tasma-Hollander, A.S.;;;;;Tasma-Hollander, A.S.
Terpstra, Anna;Ans van der Werf-Terpstra;Q2206138;1916-12-05;2011-12-25;http://data.bibliotheken.nl/id/thes/p241741726;Terpstra, Anna
Terpstra, Piter;Pieter Terpstra;Q2044213;1919-12-29;2006-01-26;http://data.bibliotheken.nl/id/thes/p068776519;Terpstra, Pieter (1919-2006)
Tollenaer, A. de;Jean de Tollenaer;Q98804189;###############################################################################################################################################################################################################################################################;###############################################################################################################################################################################################################################################################;;Tollenaer, A. de
Troelstra, Piter Jelles;Pieter Jelles Troelstra;Q494665;###############################################################################################################################################################################################################################################################;1930-05-12;;Troelstra, Piter Jelles
Trynke;Trynke;;;;;Trynke
Tsjitske;Tsjitske;;;;;Tsjitske
Tysling -Terpstra, G.;Tysling -Terpstra, G.;;;;;Tysling -Terpstra, G.
Vandamme, Arsène;Vandamme, Arsène;;;;;Vandamme, Arsène
Veeman, Wybren;Veeman, Wybren;;;;;Veeman, Wybren
Veenstra, Jaap;Veenstra, Jaap;;;;http://data.bibliotheken.nl/id/thes/p072322365;Veenstra, Jaap (1959-2020)
Veenstra, Johan;Johan Veenstra;Q487812;1946-01-06;;http://data.bibliotheken.nl/id/thes/p068528507;Veenstra, Johan (1946-)
Veenstra, Tsjerk;Veenstra, Tsjerk;;;;http://data.bibliotheken.nl/id/thes/p073861197;Veenstra, Tsjerk (1940-)
Veer, Akky van der;Akky van der Veer;Q2872968;1943-07-28;2019-06-23;http://data.bibliotheken.nl/id/thes/p070425736;Veer, Akky van der (1943-2019)
Veninga, Jacob;Veninga, Jacob;;;;;Veninga, Jacob
Verbeek, Folkert;Verbeek, Folkert;;;;http://data.bibliotheken.nl/id/thes/p121957128;Verbeek, Folkert (1931-)
Verveld, Reinhard;Verveld, Reinhard;;;;http://data.bibliotheken.nl/id/thes/p07417357X;Verveld, Reinhard (1931-2010)
Visser - Swart, Jeltsje de;Visser - Swart, Jeltsje de;;;;;Visser - Swart, Jeltsje de
Visser, Jemke;Visser, Jemke;;;;http://data.bibliotheken.nl/id/thes/p085528633;Visser, Jemke
Visser, Leo;Visser, Leo;;;;http://data.bibliotheken.nl/id/thes/p402176561;Visser, Leo (Woudsend)
Vliet, Eddy van;Eddy van Vliet;Q2190644;1942-09-11;2002-10-06;http://data.bibliotheken.nl/id/thes/p068678886;Van Vliet, Eddy (1942-2002)
Vliet, Goaitsen van der;Goaitsen van der Vliet;Q13390005;1951-12-30;;http://data.bibliotheken.nl/id/thes/p067586198;Vliet, Goaitsen van der (1951-)
Vos, Cora de;Vos, Cora de;;;;http://data.bibliotheken.nl/id/thes/p068863985;Vos, Cora de (1949-)
Vos, Harm de;Vos, Harm de;;;;http://data.bibliotheken.nl/id/thes/p06877690X;Vos, Harm de (1934-)
Vreede, Mischa de;Mischa de Vreede;Q2753658;1936-09-17;2020-05-12;http://data.bibliotheken.nl/id/thes/p070257574;Vreede, Mischa de (1936-2020)
Vries, Aukje de;Aukje de Vries;Q1532558;1964-10-21;;;Vries, Aukje de
Vries, Jan de;Vries, Jan de;;;;;Vries, Jan de
Vries, Theun de;Theun de Vries;Q2143934;1907-04-26;2005-01-21;http://data.bibliotheken.nl/id/thes/p068302770;Vries, Theun de (1907-2005)
Vries, Wim de;Vries, Wim de;;;;;Vries, Wim de
Waarsenburg, Hans van de;Hans van de Waarsenburg;Q2178745;1943-07-21;2015-06-15;http://data.bibliotheken.nl/id/thes/p069094500;Waarsenburg, Hans van de (1943-2015)
Wagenaar, Jan;Jan Wagenaar;Q276704;###############################################################################################################################################################################################################################################################;###############################################################################################################################################################################################################################################################;http://data.bibliotheken.nl/id/thes/p068412789;Wagenaar, Jan (1709-1773)
Wal, Lenie van der;Wal, Lenie van der;;;;;Wal, Lenie van der
Walstra, Josum;Josum Walstra;Q96949627;;;http://data.bibliotheken.nl/id/thes/p091462525;Walstra, Josum (1935-)
Walta, Meinte;Meinte Walta;Q15708645;1920-04-06;2002-05-06;http://data.bibliotheken.nl/id/thes/p075152959;Walta, Meinte (1920-2002)
Warren, Hans;Hans Warren;Q1971369;1921-10-20;2001-12-19;http://data.bibliotheken.nl/id/thes/p068395736;Warren, Hans (1921-2001)
Waskowski, Rikus;Waskowski, Rikus;;;;;Waskowski, Rikus
Wassenaer, Ella;Ypk fan der Fear;Q13138766;1908-02-15;1983-06-03;http://data.bibliotheken.nl/id/thes/p068857128;Wassenaer, Ella
Weely, Hans van;Weely, Hans van;;;;http://data.bibliotheken.nl/id/thes/p072427957;Weely, Hans van (1945-2019)
Weide - van der Vliet, Geke van der;Weide - van der Vliet, Geke van der;;;;;Weide - van der Vliet, Geke van der
Welling, Jules;Welling, Jules;;;;http://data.bibliotheken.nl/id/thes/p068426054;Welling, Jules (1949-2016)
Werf, Sytse van der;Sytse van der Werf;Q13138221;1951-01-01;;http://data.bibliotheken.nl/id/thes/p277370159;Werf, Sytse van der (1951-)
Wiersma, Lammert;Lammert Wiersma;Q1872478;###############################################################################################################################################################################################################################################################;1980-11-01;;Wiersma, Lammert
Wiersma, Syds;Syds Wiersma;Q97259063;;;http://data.bibliotheken.nl/id/thes/p100711731;Wiersma, Syds (1963-)
Wigman, A.B.;Albertus Bernard Wigman;Q18562279;###############################################################################################################################################################################################################################################################;1972-01-01;http://data.bibliotheken.nl/id/thes/p073503789;Wigman, A.B. (1891-1972)
Wijnkooper, Naomi;Wijnkooper, Naomi;;;;;Wijnkooper, Naomi
Willems, Hans;Willems, Hans;;;;;Willems, Hans
Winkler, Kees;Kees Winkler;Q2095949;1927-05-22;2004-04-01;http://data.bibliotheken.nl/id/thes/p068367856;Winkler, Kees (1927-2004)
Wit, Klaas de;Wit, Klaas de;;;;http://data.bibliotheken.nl/id/thes/p419328513;"Wit, Klaas de (1919- ; zuivel)"
Witbraad, Gryt;Gryt Witbraad;Q13135943;1944-10-13;;http://data.bibliotheken.nl/id/thes/p17423614X;Witbraad, Gryt (1944-)
Wybenga, Akke;Wybenga, Akke;;;;http://data.bibliotheken.nl/id/thes/p069130515;Wybenga, Akke (1932-1997)
Wybenga, Jan;Jan Wybenga;Q13136369;1917-09-17;1994-06-28;http://data.bibliotheken.nl/id/thes/p068875215;Wybenga, Jan (1917-1994)
Wynsma, Ingele;Wynsma, Ingele;;;;;Wynsma, Ingele
Wytsma, Baukje;Baukje Wytsma;Q13134749;1946-04-01;;http://data.bibliotheken.nl/id/thes/p068606028;Wytsma, Baukje (1946-)
Yedema, Piter;Piter Yedema;Q52422406;1941-04-22;2018-04-20;http://data.bibliotheken.nl/id/thes/p072550570;Yedema, Piter (1941-)
Zanger, Jan F. de;Jan de Zanger;Q1682414;1932-07-04;1991-01-14;http://data.bibliotheken.nl/id/thes/p068569483;Zanger, Jan de (1932-1991)
Zijlstra, Jaap;Jaap Zijlstra;Q2450659;1933-09-05;2015-12-22;http://data.bibliotheken.nl/id/thes/p069264074;Zijlstra, Jaap (1933-2015)
Zwaag, Geart van der;Geart van der Zwaag;Q13135790;1924-10-31;1989-07-22;http://data.bibliotheken.nl/id/thes/p069632715;Zwaag, Geart van der (1924-1989)